category,item,variety,price,unit,month,year
fruit,apples,bramleys_seedling,2.05,kg,3,2022
fruit,apples,coxs_orange_group,1.22,kg,3,2022
fruit,apples,egremont_russet,1.14,kg,3,2022
fruit,apples,braeburn,1.05,kg,3,2022
fruit,apples,gala,1.03,kg,3,2022
fruit,apples,other_late_season,0.85,kg,3,2022
fruit,pears,conference,0.77,kg,3,2022
fruit,pears,doyenne_du_comice,1.24,kg,3,2022
vegetable,beetroot,beetroot,0.52,kg,3,2022
vegetable,brussels_sprouts,brussels_sprouts,0.78,kg,3,2022
vegetable,pak_choi,pak_choi,3.17,kg,3,2022
vegetable,curly_kale,curly_kale,3.17,kg,3,2022
vegetable,cabbage,red,0.59,kg,3,2022
vegetable,cabbage,savoy,0.51,head,3,2022
vegetable,spring_greens,prepacked,1.04,kg,3,2022
vegetable,cabbage,white,0.41,kg,3,2022
vegetable,cabbage,round_green_other,0.46,head,3,2022
vegetable,carrots,topped_washed,0.42,kg,3,2022
vegetable,cauliflower,all,0.7,head,3,2022
vegetable,celeriac,celeriac,0.81,kg,3,2022
vegetable,cucumbers,cucumbers,1.35,kg,3,2022
vegetable,leeks,trimmed,1.12,kg,3,2022
vegetable,lettuce,butterhead_indoor,0.44,head,3,2022
vegetable,lettuce,little_gem,0.78,twin,3,2022
vegetable,onion,bulb_brown,0.39,kg,3,2022
vegetable,onion,bulb_red,0.59,kg,3,2022
vegetable,swede,swede,0.24,kg,3,2022
vegetable,turnip,turnip,0.63,kg,3,2022
vegetable,parsnips,all_varieties,1,kg,3,2022
vegetable,rhubarb,forced,4.35,kg,3,2022
vegetable,rhubarb,outdoor,3.07,kg,3,2022
cut_flowers,tulips,tulips,0.29,stem,3,2022
fruit,apples,bramleys_seedling,1.89,kg,3,2022
fruit,apples,coxs_orange_group,1.17,kg,3,2022
fruit,apples,egremont_russet,1.16,kg,3,2022
fruit,apples,braeburn,1.07,kg,3,2022
fruit,apples,gala,1.06,kg,3,2022
fruit,apples,other_late_season,1.11,kg,3,2022
fruit,pears,conference,0.88,kg,3,2022
fruit,pears,doyenne_du_comice,1.03,kg,3,2022
vegetable,beetroot,beetroot,0.5,kg,3,2022
vegetable,brussels_sprouts,brussels_sprouts,0.77,kg,3,2022
vegetable,pak_choi,pak_choi,3.21,kg,3,2022
vegetable,curly_kale,curly_kale,3.17,kg,3,2022
vegetable,cabbage,red,0.56,kg,3,2022
vegetable,cabbage,savoy,0.52,head,3,2022
vegetable,spring_greens,prepacked,1.05,kg,3,2022
vegetable,cabbage,white,0.38,kg,3,2022
vegetable,cabbage,round_green_other,0.47,head,3,2022
vegetable,capsicum,red,0.95,kg,3,2022
vegetable,carrots,topped_washed,0.44,kg,3,2022
vegetable,cauliflower,all,0.7,head,3,2022
vegetable,celeriac,celeriac,0.81,kg,3,2022
vegetable,cucumbers,cucumbers,1.32,kg,3,2022
vegetable,leeks,trimmed,1.11,kg,3,2022
vegetable,lettuce,butterhead_indoor,0.47,head,3,2022
vegetable,lettuce,little_gem,0.79,twin,3,2022
vegetable,onion,bulb_brown,0.41,kg,3,2022
vegetable,onion,bulb_red,0.56,kg,3,2022
vegetable,swede,swede,0.24,kg,3,2022
vegetable,turnip,turnip,1.07,kg,3,2022
vegetable,parsnips,all_varieties,0.99,kg,3,2022
vegetable,rhubarb,forced,5.34,kg,3,2022
vegetable,rhubarb,outdoor,4.01,kg,3,2022
cut_flowers,tulips,tulips,0.29,stem,3,2022
fruit,apples,bramleys_seedling,1.9,kg,2,2022
fruit,apples,coxs_orange_group,1.5,kg,2,2022
fruit,apples,egremont_russet,1.18,kg,2,2022
fruit,apples,braeburn,1.09,kg,2,2022
fruit,apples,gala,1.07,kg,2,2022
fruit,apples,other_late_season,0.82,kg,2,2022
fruit,pears,conference,1.11,kg,2,2022
fruit,pears,doyenne_du_comice,1.13,kg,2,2022
vegetable,beetroot,beetroot,0.49,kg,2,2022
vegetable,brussels_sprouts,brussels_sprouts,0.79,kg,2,2022
vegetable,pak_choi,pak_choi,4.07,kg,2,2022
vegetable,curly_kale,curly_kale,3.2,kg,2,2022
vegetable,cabbage,red,0.57,kg,2,2022
vegetable,cabbage,savoy,0.5,head,2,2022
vegetable,spring_greens,prepacked,1.07,kg,2,2022
vegetable,cabbage,white,0.41,kg,2,2022
vegetable,cabbage,round_green_other,0.47,head,2,2022
vegetable,capsicum,red,0.95,kg,2,2022
vegetable,carrots,topped_washed,0.43,kg,2,2022
vegetable,cauliflower,all,0.75,head,2,2022
vegetable,celeriac,celeriac,0.81,kg,2,2022
vegetable,cucumbers,cucumbers,1,kg,2,2022
vegetable,leeks,trimmed,1.07,kg,2,2022
vegetable,lettuce,butterhead_indoor,0.47,head,2,2022
vegetable,lettuce,little_gem,0.82,twin,2,2022
vegetable,onion,bulb_brown,0.4,kg,2,2022
vegetable,onion,bulb_red,0.61,kg,2,2022
vegetable,swede,swede,0.24,kg,2,2022
vegetable,turnip,turnip,1.05,kg,2,2022
vegetable,parsnips,all_varieties,1.04,kg,2,2022
vegetable,rhubarb,forced,5.22,kg,2,2022
vegetable,rhubarb,outdoor,5.51,kg,2,2022
cut_flowers,tulips,tulips,0.28,stem,2,2022
fruit,apples,bramleys_seedling,1.97,kg,2,2022
fruit,apples,coxs_orange_group,1.33,kg,2,2022
fruit,apples,egremont_russet,1.17,kg,2,2022
fruit,apples,braeburn,1.08,kg,2,2022
fruit,apples,gala,1.05,kg,2,2022
fruit,apples,other_late_season,1.59,kg,2,2022
fruit,pears,conference,1.03,kg,2,2022
fruit,pears,doyenne_du_comice,1.1,kg,2,2022
vegetable,beetroot,beetroot,0.49,kg,2,2022
vegetable,brussels_sprouts,brussels_sprouts,0.83,kg,2,2022
vegetable,pak_choi,pak_choi,3.74,kg,2,2022
vegetable,curly_kale,curly_kale,3.24,kg,2,2022
vegetable,cabbage,red,0.6,kg,2,2022
vegetable,cabbage,savoy,0.49,head,2,2022
vegetable,spring_greens,prepacked,1.04,kg,2,2022
vegetable,cabbage,white,0.41,kg,2,2022
vegetable,cabbage,round_green_other,0.46,head,2,2022
vegetable,capsicum,red,0.9,kg,2,2022
vegetable,carrots,topped_washed,0.45,kg,2,2022
vegetable,cauliflower,all,0.74,head,2,2022
vegetable,celeriac,celeriac,0.76,kg,2,2022
vegetable,leeks,trimmed,1.18,kg,2,2022
