Rank,Year,Month,Day,Year_to_Date_Rank,Last_Week_Rank,Title,Type,Exclusive,Release_Date,Days_in_Top_10,Viewership_Score
1,2020,4,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90
2,2020,4,1,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45
3,2020,4,1,3,2,All American,TV Show,No,"Mar 28, 2019",9,76
4,2020,4,1,4,-,Blood Father,Movie,No,"Mar 26, 2020",5,30
5,2020,4,1,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55
6,2020,4,1,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",4,14
7,2020,4,1,10,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5
8,2020,4,1,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40
9,2020,4,1,8,-,Badland,Movie,No,"Mar 26, 2020",4,11
10,2020,4,1,9,-,Uncorked,Movie,Yes,"Mar 27, 2020",4,15
1,2020,4,2,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100
2,2020,4,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54
3,2020,4,2,3,2,All American,TV Show,No,"Mar 28, 2019",10,84
4,2020,4,2,-,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",1,7
5,2020,4,2,-,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6
6,2020,4,2,4,-,Blood Father,Movie,No,"Mar 26, 2020",6,35
7,2020,4,2,-,-,The Roommate,Movie,No,"Apr 1, 2020",1,4
8,2020,4,2,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8
9,2020,4,2,5,4,The Platform,Movie,Yes,"Mar 20, 2020",10,57
10,2020,4,2,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",5,15
1,2020,4,3,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110
2,2020,4,3,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63
3,2020,4,3,3,2,All American,TV Show,No,"Mar 28, 2019",11,92
4,2020,4,3,5,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13
5,2020,4,3,4,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",2,13
6,2020,4,3,7,-,The Roommate,Movie,No,"Apr 1, 2020",2,9
7,2020,4,3,8,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",4,12
8,2020,4,3,-,-,The Players Club,Movie,No,"Apr 1, 2020",1,3
9,2020,4,3,-,-,Salt,Movie,No,"Apr 1, 2020",1,2
10,2020,4,3,6,-,Blood Father,Movie,No,"Mar 26, 2020",7,36
1,2020,4,4,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120
2,2020,4,4,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",8,72
3,2020,4,4,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",1,8
4,2020,4,4,3,3,All American,TV Show,No,"Mar 28, 2019",12,99
5,2020,4,4,-,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",1,6
6,2020,4,4,4,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",3,18
7,2020,4,4,6,-,The Roommate,Movie,No,"Apr 1, 2020",3,13
8,2020,4,4,5,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",3,16
9,2020,4,4,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",5,14
10,2020,4,4,8,-,The Players Club,Movie,No,"Apr 1, 2020",2,4
1,2020,4,5,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130
2,2020,4,5,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81
3,2020,4,5,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",2,14
4,2020,4,5,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",2,15
5,2020,4,5,4,3,All American,TV Show,No,"Mar 28, 2019",13,105
6,2020,4,5,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",4,23
7,2020,4,5,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",4,20
8,2020,4,5,7,-,The Roommate,Movie,No,"Apr 1, 2020",4,16
9,2020,4,5,-,-,Angel Has Fallen,Movie,No,"Apr 4, 2020",1,2
10,2020,4,5,9,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",6,15
1,2020,4,6,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140
2,2020,4,6,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",10,90
3,2020,4,6,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",3,22
4,2020,4,6,9,-,Angel Has Fallen,Movie,No,"Apr 4, 2020",2,9
5,2020,4,6,4,-,Money Heist,TV Show,Yes,"Dec 20, 2017",3,21
6,2020,4,6,5,3,All American,TV Show,No,"Mar 28, 2019",14,110
7,2020,4,6,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",5,27
8,2020,4,6,7,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",5,23
9,2020,4,6,8,-,The Roommate,Movie,No,"Apr 1, 2020",5,18
10,2020,4,6,-,-,The Hangover,Movie,No,"Jul 1, 2019",1,1
