"name","style","abv","ibu","ounces"
"Pub Beer","American Pale Lager",0.05,0,12
"Devil's Cup","American Pale Ale (APA)",0.066,0,12
"Rise of the Phoenix","American IPA",0.071,0,12
"Sinister","American Double / Imperial IPA",0.09,0,12
"Sex and Candy","American IPA",0.075,0,12
"Black Exodus","Oatmeal Stout",0.077,0,12
"Lake Street Express","American Pale Ale (APA)",0.045,0,12
"Foreman","American Porter",0.065,0,12
"Jade","American Pale Ale (APA)",0.055,0,12
"Cone Crusher","American Double / Imperial IPA",0.086,0,12
"Sophomoric Saison","Saison / Farmhouse Ale",0.072,0,12
"Regional Ring Of Fire","Saison / Farmhouse Ale",0.073,0,12
"Garce Selé","Saison / Farmhouse Ale",0.069,0,12
"Troll Destroyer","Belgian IPA",0.085,0,12
"Bitter Bitch","American Pale Ale (APA)",0.061,60,12
"Ginja Ninja","Cider",0.06,0,12
"Cherried Away","Cider",0.06,0,12
"Rhubarbarian","Cider",0.06,0,12
"BrightCider","Cider",0.06,0,12
"He Said Baltic-Style Porter","Baltic Porter",0.082,0,12
"He Said Belgian-Style Tripel","Tripel",0.082,0,12
"Lower De Boom","American Barleywine",0.099,92,8.4
"Fireside Chat","Winter Warmer",0.079,45,12
"Marooned On Hog Island","American Stout",0.079,0,12
"Bitter American","American Pale Ale (APA)",0.044,42,12
"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",0.049,17,12
"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",0.049,17,12
"21st Amendment Watermelon Wheat Beer (2006)","Fruit / Vegetable Beer",0.049,17,12
"21st Amendment IPA (2006)","American IPA",0.07,70,12
"Brew Free! or Die IPA (2008)","American IPA",0.07,70,12
"Brew Free! or Die IPA (2009)","American IPA",0.07,70,12
"Special Edition: Allies Win The War!","English Strong Ale",0.085,52,12
"Hop Crisis","American Double / Imperial IPA",0.097,94,12
"Bitter American (2011)","American Pale Ale (APA)",0.044,42,12
"Fireside Chat (2010)","Winter Warmer",0.079,45,12
"Back in Black","American Black Ale",0.068,65,12
"Monk's Blood","Belgian Dark Ale",0.083,35,12
"Brew Free! or Die IPA","American IPA",0.07,65,12
"Hell or High Watermelon Wheat","Fruit / Vegetable Beer",0.049,17,12
"Bimini Twist","American IPA",0.07,82,12
"Beach Blonde","American Blonde Ale",0.05,0,12
"Rod Bender Red","American Amber / Red Ale",0.059,0,12
"Passion Fruit Prussia","Berliner Weissbier",0.035,11,12
"Send Help","American Blonde Ale",0.045,18,12
"Cast Iron Oatmeal Brown","American Brown Ale",0.055,0,12
"Reprise Centennial Red","American Amber / Red Ale",0.06,0,12
