Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Australia,AUS,..,..,66,67,64,63,63,66,70,69,67,68,73,71,77,78,84,89,93,94,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Argentina,ARG,..,..,21,26,30,33,36,39,42,48,50,54,58,61,64,67,69,71,73,75,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Austria,AUT,..,..,28,30,78,77,73,81,87,94,95,92,87,85,88,95,95,95,95,94,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Bahrain,BHR,..,..,14,15,26,24,22,26,28,26,26,27,27,27,29,28,28,31,30,39,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Azerbaijan,AZE,..,..,0,0,0,0,0,0,0,2,4,5,8,11,14,19,23,30,36,44,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Bangladesh,BGD,..,..,0,0,0,0,0,1,1,1,4,5,5,7,8,11,12,14,16,19,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Brazil,BRA,..,..,22,25,27,29,31,33,32,33,34,37,40,43,46,50,55,59,62,65,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,Colombia,COL,..,..,0,1,2,3,3,4,8,7,8,9,14,20,25,31,37,46,46,48,..
