Year,Category,Type,Name,Birth_City,Birth_Country,Sex,Organization_Name,Organization_City,Organization_Country
1901,Chemistry,Individual,Jacobus Henricus van 't Hoff,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany
1901,Literature,Individual,Sully Prudhomme,Paris,France,Male,,,
1901,Medicine,Individual,Emil Adolf von Behring,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Marburg,Germany
1901,Peace,Individual,Jean Henry Dunant,Geneva,Switzerland,Male,,,
1901,Peace,Individual,Frédéric Passy,Paris,France,Male,,,
1901,Physics,Individual,Wilhelm Conrad Röntgen,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany
1902,Chemistry,Individual,Hermann Emil Fischer,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany
1902,Literature,Individual,Christian Matthias Theodor Mommsen,Garding,Schleswig (Germany),Male,,,
1902,Medicine,Individual,Ronald Ross,Almora,India,Male,University College,Liverpool,United Kingdom
1902,Peace,Individual,Élie Ducommun,Geneva,Switzerland,Male,,,
1902,Peace,Individual,Charles Albert Gobat,Tramelan,Switzerland,Male,,,
1902,Physics,Individual,Hendrik Antoon Lorentz,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands
1902,Physics,Individual,Pieter Zeeman,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands
1903,Chemistry,Individual,Svante August Arrhenius,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden
1903,Literature,Individual,Bjørnstjerne Martinus Bjørnson,Kvikne,Norway,Male,,,
1903,Medicine,Individual,Niels Ryberg Finsen,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark
1903,Peace,Individual,William Randal Cremer,Fareham,United Kingdom,Male,,,
1903,Physics,Individual,Antoine Henri Becquerel,Paris,France,Male,École Polytechnique,Paris,France
1903,Physics,Individual,Pierre Curie,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France
1903,Physics,Individual,"Marie Curie, née Sklodowska",Warsaw,Russian Empire (Poland),Female,,,
1904,Chemistry,Individual,Sir William Ramsay,Glasgow,Scotland,Male,University College,London,United Kingdom
1904,Literature,Individual,Frédéric Mistral,Maillane,France,Male,,,
1904,Literature,Individual,José Echegaray y Eizaguirre,Madrid,Spain,Male,,,
1904,Medicine,Individual,Ivan Petrovich Pavlov,Ryazan,Russia,Male,Military Medical Academy,St. Petersburg,Russia
1904,Peace,Organization,Institut de droit international (Institute of International Law),,,,,,
1904,Physics,Individual,Lord Rayleigh (John William Strutt),"Langford Grove, Maldon, Essex",United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom
1905,Chemistry,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,Berlin,Prussia (Germany),Male,Munich University,Munich,Germany
1905,Literature,Individual,Henryk Sienkiewicz,Wola Okrzejska,Poland,Male,,,
1905,Medicine,Individual,Robert Koch,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Berlin,Germany
1905,Peace,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",Prague,Austrian Empire (Czech Republic),Female,,,
1905,Physics,Individual,Philipp Eduard Anton von Lenard,Pressburg (Bratislava),Hungary (Slovakia),Male,Kiel University,Kiel,Germany
1906,Chemistry,Individual,Henri Moissan,Paris,France,Male,Sorbonne University,Paris,France
1906,Literature,Individual,Giosuè Carducci,Val di Castello,Tuscany (Italy),Male,,,
1906,Medicine,Individual,Camillo Golgi,Corteno,Italy,Male,Pavia University,Pavia,Italy
1906,Medicine,Individual,Santiago Ramón y Cajal,Petilla de Aragó,Spain,Male,Madrid University,Madrid,Spain
1906,Peace,Individual,Theodore Roosevelt,"New York, NY",United States of America,Male,,,
1906,Physics,Individual,Joseph John Thomson,"Cheetham Hill, near Manchester",United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1907,Chemistry,Individual,Eduard Buchner,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany
1907,Literature,Individual,Rudyard Kipling,Bombay,British India (India),Male,,,
1907,Medicine,Individual,Charles Louis Alphonse Laveran,Paris,France,Male,Institut Pasteur,Paris,France
1907,Peace,Individual,Ernesto Teodoro Moneta,Milan,Austrian Empire (Italy),Male,,,
1907,Peace,Individual,Louis Renault,Autun,France,Male,Sorbonne University,Paris,France
1907,Physics,Individual,Albert Abraham Michelson,Strelno (Strzelno),Prussia (Poland),Male,University of Chicago,"Chicago, IL",United States of America
1908,Chemistry,Individual,Ernest Rutherford,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom
1908,Literature,Individual,Rudolf Christoph Eucken,Aurich,East Friesland (Germany),Male,,,
1908,Medicine,Individual,Ilya Ilyich Mechnikov,Kharkov (Kharkiv),Russian Empire (Ukraine),Male,Institut Pasteur,Paris,France
1908,Medicine,Individual,Paul Ehrlich,Strehlen (Strzelin),Prussia (Poland),Male,Goettingen University,Göttingen,Germany
1908,Medicine,Individual,Paul Ehrlich,Strehlen (Strzelin),Prussia (Poland),Male,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Frankfurt-on-the-Main,Germany
1908,Peace,Individual,Klas Pontus Arnoldson,Gothenburg,Sweden,Male,,,
1908,Peace,Individual,Fredrik Bajer,Næstved,Denmark,Male,,,
1908,Physics,Individual,Gabriel Lippmann,Hollerich,Luxembourg,Male,Sorbonne University,Paris,France
1909,Chemistry,Individual,Wilhelm Ostwald,Riga,Russian Empire (Latvia),Male,Leipzig University,Leipzig,Germany
1909,Literature,Individual,Selma Ottilia Lovisa Lagerlöf,Mårbacka,Sweden,Female,,,
1909,Medicine,Individual,Emil Theodor Kocher,Berne,Switzerland,Male,Berne University,Berne,Switzerland
1909,Peace,Individual,Auguste Marie François Beernaert,Ostend,Belgium,Male,,,
1909,Peace,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",La Flèche,France,Male,,,
1909,Physics,Individual,Guglielmo Marconi,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom
1909,Physics,Individual,Karl Ferdinand Braun,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,"Alsace (then Germany, now France)"
1910,Chemistry,Individual,Otto Wallach,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,Göttingen,Germany
1910,Literature,Individual,Paul Johann Ludwig Heyse,Berlin,Prussia (Germany),Male,,,
1910,Medicine,Individual,Albrecht Kossel,Rostock,Mecklenburg (Germany),Male,University of Heidelberg,Heidelberg,Germany
1910,Peace,Organization,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,,,,
1910,Physics,Individual,Johannes Diderik van der Waals,Leiden,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands
1911,Chemistry,Individual,"Marie Curie, née Sklodowska",Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France
1911,Literature,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,Ghent,Belgium,Male,,,
1911,Medicine,Individual,Allvar Gullstrand,Landskrona,Sweden,Male,Uppsala University,Uppsala,Sweden
1911,Peace,Individual,Tobias Michael Carel Asser,Amsterdam,Netherlands,Male,,,
1911,Peace,Individual,Alfred Hermann Fried,Vienna,Austria,Male,,,
1911,Physics,Individual,Wilhelm Wien,Gaffken (Parusnoye),Prussia (Russia),Male,Würzburg University,Würzburg,Germany
1912,Chemistry,Individual,Victor Grignard,Cherbourg,France,Male,Nancy University,Nancy,France
1912,Chemistry,Individual,Paul Sabatier,Carcassonne,France,Male,Toulouse University,Toulouse,France
1912,Literature,Individual,Gerhart Johann Robert Hauptmann,Bad Salzbrunn,Prussia (Germany),Male,,,
1912,Medicine,Individual,Alexis Carrel,Sainte-Foy-lès-Lyon,France,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America
1912,Peace,Individual,Elihu Root,"Clinton, NY",United States of America,Male,,,
1912,Physics,Individual,Nils Gustaf Dalén,Stenstorp,Sweden,Male,Swedish Gas-Accumulator Co.,Lidingö-Stockholm,Sweden
1913,Chemistry,Individual,Alfred Werner,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland
1913,Literature,Individual,Rabindranath Tagore,Calcutta,India,Male,,,
1913,Medicine,Individual,Charles Robert Richet,Paris,France,Male,Sorbonne University,Paris,France
1913,Peace,Individual,Henri La Fontaine,Brussels,Belgium,Male,,,
1913,Physics,Individual,Heike Kamerlingh Onnes,Groningen,Netherlands,Male,Leiden University,Leiden,Netherlands
1914,Chemistry,Individual,Theodore William Richards,"Germantown, PA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America
1914,Medicine,Individual,Robert Bárány,Vienna,Austria,Male,Vienna University,Vienna,Austria
1914,Physics,Individual,Max von Laue,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany
1915,Chemistry,Individual,Richard Martin Willstätter,Karlsruhe,Germany,Male,Munich University,Munich,Germany
1915,Literature,Individual,Romain Rolland,Clamecy,France,Male,,,
1915,Physics,Individual,Sir William Henry Bragg,Wigton,United Kingdom,Male,University College,London,United Kingdom
1915,Physics,Individual,William Lawrence Bragg,Adelaide,Australia,Male,Victoria University,Manchester,United Kingdom
1916,Literature,Individual,Carl Gustaf Verner von Heidenstam,Olshammar,Sweden,Male,,,
1917,Literature,Individual,Karl Adolph Gjellerup,Roholte,Denmark,Male,,,
1917,Literature,Individual,Henrik Pontoppidan,Fredericia,Denmark,Male,,,
1917,Peace,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,
1917,Physics,Individual,Charles Glover Barkla,Widnes,United Kingdom,Male,Edinburgh University,Edinburgh,United Kingdom
1918,Chemistry,Individual,Fritz Haber,Breslau (Wroclaw),Prussia (Poland),Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany
1918,Physics,Individual,Max Karl Ernst Ludwig Planck,Kiel,Schleswig (Germany),Male,Berlin University,Berlin,Germany
1919,Literature,Individual,Carl Friedrich Georg Spitteler,Liestal,Switzerland,Male,,,
1919,Medicine,Individual,Jules Bordet,Soignies,Belgium,Male,Brussels University,Brussels,Belgium
1919,Peace,Individual,Thomas Woodrow Wilson,"Staunton, VA",United States of America,Male,,,
1919,Physics,Individual,Johannes Stark,Schickenhof,Germany,Male,Greifswald University,Greifswald,Germany
1920,Chemistry,Individual,Walther Hermann Nernst,Briesen,Prussia (Germany),Male,Berlin University,Berlin,Germany
1920,Literature,Individual,Knut Pedersen Hamsun,Lom,Norway,Male,,,
1920,Medicine,Individual,Schack August Steenberg Krogh,Grenå,Denmark,Male,Copenhagen University,Copenhagen,Denmark
1920,Peace,Individual,Léon Victor Auguste Bourgeois,Paris,France,Male,,,
1920,Physics,Individual,Charles Edouard Guillaume,Fleurier,Switzerland,Male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France
1921,Chemistry,Individual,Frederick Soddy,Eastbourne,United Kingdom,Male,University of Oxford,Oxford,United Kingdom
1921,Literature,Individual,Anatole France,Paris,France,Male,,,
1921,Peace,Individual,Karl Hjalmar Branting,Stockholm,Sweden,Male,,,
1921,Peace,Individual,Christian Lous Lange,Stavanger,Norway,Male,,,
1921,Physics,Individual,Albert Einstein,Ulm,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany
1922,Chemistry,Individual,Francis William Aston,Harborne,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1922,Literature,Individual,Jacinto Benavente,Madrid,Spain,Male,,,
1922,Medicine,Individual,Archibald Vivian Hill,Bristol,United Kingdom,Male,London University,London,United Kingdom
1922,Medicine,Individual,Otto Fritz Meyerhof,Hanover,Germany,Male,Kiel University,Kiel,Germany
1922,Peace,Individual,Fridtjof Nansen,Kristiania (Oslo),Norway,Male,,,
1922,Physics,Individual,Niels Henrik David Bohr,Copenhagen,Denmark,Male,Copenhagen University,Copenhagen,Denmark
1923,Chemistry,Individual,Fritz Pregl,Laibach (Ljubljana),Austria-Hungary (Slovenia),Male,Graz University,Graz,Austria
1923,Literature,Individual,William Butler Yeats,Dublin,Ireland,Male,,,
1923,Medicine,Individual,Frederick Grant Banting,Alliston,Canada,Male,University of Toronto,Toronto,Canada
1923,Medicine,Individual,John James Rickard Macleod,Cluny,Scotland,Male,University of Toronto,Toronto,Canada
1923,Physics,Individual,Robert Andrews Millikan,"Morrison, IL",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
1924,Literature,Individual,Wladyslaw Stanislaw Reymont,Kobiele Wielkie,Russian Empire (Poland),Male,,,
1924,Medicine,Individual,Willem Einthoven,Semarang,"Java, Dutch East Indies (Indonesia)",Male,Leiden University,Leiden,Netherlands
1924,Physics,Individual,Karl Manne Georg Siegbahn,Lund,Sweden,Male,Uppsala University,Uppsala,Sweden
1925,Chemistry,Individual,Richard Adolf Zsigmondy,Vienna,Austrian Empire (Austria),Male,Goettingen University,Göttingen,Germany
1925,Literature,Individual,George Bernard Shaw,Dublin,Ireland,Male,,,
1925,Peace,Individual,Sir Austen Chamberlain,Birmingham,United Kingdom,Male,,,
1925,Peace,Individual,Charles Gates Dawes,"Marietta, OH",United States of America,Male,,,
1925,Physics,Individual,James Franck,Hamburg,Germany,Male,Goettingen University,Göttingen,Germany
1925,Physics,Individual,Gustav Ludwig Hertz,Hamburg,Germany,Male,Halle University,Halle,Germany
1926,Chemistry,Individual,The (Theodor) Svedberg,Fleräng,Sweden,Male,Uppsala University,Uppsala,Sweden
1926,Literature,Individual,Grazia Deledda,"Nuoro, Sardinia",Italy,Female,,,
1926,Medicine,Individual,Johannes Andreas Grib Fibiger,Silkeborg,Denmark,Male,Copenhagen University,Copenhagen,Denmark
1926,Peace,Individual,Aristide Briand,Nantes,France,Male,,,
1926,Peace,Individual,Gustav Stresemann,Berlin,Germany,Male,,,
1926,Physics,Individual,Jean Baptiste Perrin,Lille,France,Male,Sorbonne University,Paris,France
1927,Chemistry,Individual,Heinrich Otto Wieland,Pforzheim,Germany,Male,Munich University,Munich,Germany
1927,Literature,Individual,Henri Bergson,Paris,France,Male,,,
1927,Medicine,Individual,Julius Wagner-Jauregg,Wels,Austria,Male,Vienna University,Vienna,Austria
1927,Peace,Individual,Ferdinand Buisson,Paris,France,Male,,,
1927,Peace,Individual,Ludwig Quidde,Bremen,Germany,Male,,,
1927,Physics,Individual,Arthur Holly Compton,"Wooster, OH",United States of America,Male,University of Chicago,"Chicago, IL",United States of America
1927,Physics,Individual,Charles Thomson Rees Wilson,Glencorse,Scotland,Male,University of Cambridge,Cambridge,United Kingdom
1928,Chemistry,Individual,Adolf Otto Reinhold Windaus,Berlin,Germany,Male,Goettingen University,Göttingen,Germany
1928,Literature,Individual,Sigrid Undset,Kalundborg,Denmark,Female,,,
1928,Medicine,Individual,Charles Jules Henri Nicolle,Rouen,France,Male,Institut Pasteur,Tunis,
1928,Physics,Individual,Owen Willans Richardson,Dewsbury,United Kingdom,Male,London University,London,United Kingdom
1929,Chemistry,Individual,Arthur Harden,Manchester,United Kingdom,Male,London University,London,United Kingdom
1929,Chemistry,Individual,Hans Karl August Simon von Euler-Chelpin,Augsburg,Germany,Male,Stockholm University,Stockholm,Sweden
1929,Literature,Individual,Thomas Mann,Lübeck,Germany,Male,,,
1929,Medicine,Individual,Christiaan Eijkman,Nijkerk,Netherlands,Male,Utrecht University,Utrecht,Netherlands
1929,Medicine,Individual,Sir Frederick Gowland Hopkins,Eastbourne,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1929,Peace,Individual,Frank Billings Kellogg,"Potsdam, NY",United States of America,Male,,,
1929,Physics,Individual,Prince Louis-Victor Pierre Raymond de Broglie,Dieppe,France,Male,"Sorbonne University, Institut Henri Poincaré",Paris,France
1930,Chemistry,Individual,Hans Fischer,Hoechst,Germany,Male,Technische Hochschule (Institute of Technology),Munich,Germany
1930,Literature,Individual,Sinclair Lewis,"Sauk Centre, MN",United States of America,Male,,,
1930,Medicine,Individual,Karl Landsteiner,Vienna,Austrian Empire (Austria),Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America
1930,Peace,Individual,Lars Olof Jonathan (Nathan) Söderblom,Trönö,Sweden,Male,,,
1930,Physics,Individual,Sir Chandrasekhara Venkata Raman,Tiruchirappalli,India,Male,Calcutta University,Calcutta,India
1931,Chemistry,Individual,Carl Bosch,Cologne,Germany,Male,University of Heidelberg,Heidelberg,Germany
1931,Chemistry,Individual,Carl Bosch,Cologne,Germany,Male,I.G. Farbenindustrie A.G.,Heidelberg,Germany
1931,Chemistry,Individual,Friedrich Bergius,"Goldschmieden, near Breslau",Germany (Poland),Male,University of Heidelberg,Heidelberg,Germany
1931,Chemistry,Individual,Friedrich Bergius,"Goldschmieden, near Breslau",Germany (Poland),Male,I.G. Farbenindustrie A.G.,Mannheim-Rheinau,Germany
1931,Literature,Individual,Erik Axel Karlfeldt,Karlbo,Sweden,Male,,,
1931,Medicine,Individual,Otto Heinrich Warburg,Freiburg im Breisgau,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Berlin-Dahlem,Germany
1931,Peace,Individual,Jane Addams,"Cedarville, IL",United States of America,Female,,,
1931,Peace,Individual,Nicholas Murray Butler,"Elizabeth, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America
1932,Chemistry,Individual,Irving Langmuir,"Brooklyn, NY",United States of America,Male,General Electric Company,"Schenectady, NY",United States of America
1932,Literature,Individual,John Galsworthy,Kingston Hill,United Kingdom,Male,,,
1932,Medicine,Individual,Sir Charles Scott Sherrington,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom
1932,Medicine,Individual,Edgar Douglas Adrian,London,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom
1932,Physics,Individual,Werner Karl Heisenberg,Würzburg,Germany,Male,Leipzig University,Leipzig,Germany
1933,Literature,Individual,Ivan Alekseyevich Bunin,Voronezh,Russia,Male,,,
1933,Medicine,Individual,Thomas Hunt Morgan,"Lexington, KY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America
